,date,TO,R,hosp,rad,conf,conf_j1,dc_tot
102,2021-02-22,0.673586397785686,1.06021062689687,25831.0,250532.0,1744289.0,4646.0,84613.0
103,2021-02-23,0.679122182680902,1.0700854915033,25660.0,252083.0,1764353.0,20064.0,85044.0
104,2021-02-24,0.679319889284302,1.07466227734106,25614.0,253450.0,1795872.0,31519.0,85321.0
105,2021-02-25,0.678133649663899,1.07400773879621,25317.0,254868.0,1821275.0,25403.0,85582.0
106,2021-02-26,0.681099248714907,1.06853629810679,25130.0,256326.0,1846482.0,25207.0,86121.0
107,2021-02-27,0.682680901542112,1.0591609667033,24989.0,257258.0,1870478.0,23996.0,86306.0
108,2021-02-28,0.690391459074733,1.04721616252875,25280.0,257555.0,1890430.0,19952.0,86428.0
109,2021-03-01,0.700672202451562,1.03423722509269,25430.0,258384.0,1895133.0,4703.0,86803.0
110,2021-03-02,0.708975879794385,1.02187314048767,25263.0,259893.0,1917990.0,22857.0,87220.0
111,2021-03-03,0.719058916567813,1.01179678798316,25111.0,261289.0,1944778.0,26788.0,87542.0
112,2021-03-04,0.718268090154211,1.00541887189939,24891.0,262690.0,1970057.0,25279.0,87835.0
113,2021-03-05,0.727560300514037,1.00378883678743,24765.0,263919.0,1993564.0,23507.0,88274.0
114,2021-03-06,0.729339659944642,1.00740291107116,24625.0,264909.0,2016870.0,23306.0,88444.0
115,2021-03-07,0.740015816528272,1.01618857835147,24818.0,265295.0,2038695.0,21825.0,88574.0
116,2021-03-08,0.760972716488731,1.02954988157123,25195.0,266096.0,2044022.0,5327.0,88933.0
117,2021-03-09,0.774614472123369,1.04644122855712,25201.0,267539.0,2067324.0,23302.0,89301.0
118,2021-03-10,0.774614472123369,1.06560389720262,24969.0,269019.0,2097627.0,30303.0,89632.0
119,2021-03-11,0.78924476077501,1.08594693407893,24858.0,270433.0,2124793.0,27166.0,89897.0
120,2021-03-12,0.797350731514433,1.10665430169291,24749.0,271678.0,2150022.0,25229.0,90120.0
121,2021-03-13,0.804665875840253,1.12718158611739,24671.0,272615.0,2179781.0,29759.0,90289.0
122,2021-03-14,0.815935152234085,1.14718183733122,24989.0,272960.0,2206124.0,26343.0,90429.0
123,2021-03-15,0.834124159746936,1.1662791735072,25469.0,273771.0,2212595.0,6471.0,90762.0
124,2021-03-16,0.838078291814947,1.18399702077294,25492.0,275360.0,2242570.0,29975.0,91170.0
125,2021-03-17,0.834124159746936,1.19969667378587,25314.0,276993.0,2281071.0,38501.0,91411.0
126,2021-03-18,0.839462238038751,1.21261404621391,25389.0,278263.0,2316069.0,34998.0,91679.0
127,2021-03-19,0.847568208778173,1.22202020255184,25339.0,279646.0,2351157.0,35088.0,91964.0
128,2021-03-20,0.86061684460261,1.2276168088069,25537.0,280571.0,2386484.0,35327.0,92140.0
129,2021-03-21,0.871095294582839,1.22961232706038,25926.0,280955.0,2417065.0,30581.0,92278.0
130,2021-03-22,0.899169632265718,1.22876596196791,26488.0,281885.0,2432857.0,15792.0,92621.0
131,2021-03-23,0.916172400158165,1.22626552177439,26756.0,283507.0,2447535.0,14678.0,92908.0
132,2021-03-24,0.919533412415975,1.22339152018787,26876.0,285199.0,2512908.0,65373.0,93153.0
133,2021-03-25,0.931000395413207,1.22074033754312,27036.0,286607.0,2558549.0,45641.0,93378.0
134,2021-03-26,0.942269671807038,1.21807538048551,27242.0,288062.0,2600418.0,41869.0,94275.0
135,2021-03-27,0.947212336892052,1.21423906560341,27259.0,289350.0,2643037.0,42619.0,94465.0
136,2021-03-28,0.963226571767497,1.20733575610912,27712.0,289752.0,2680051.0,37014.0,94596.0
137,2021-03-29,0.983392645314354,1.194976654546,28322.0,290810.0,2689145.0,9094.0,94956.0
138,2021-03-30,1.00276789244761,1.17479719354411,28510.0,292796.0,2719847.0,30702.0,95337.0
139,2021-03-31,0.999011466982997,1.14592759843866,28463.0,294638.0,2778885.0,59038.0,95640.0
140,2021-04-01,1.01008303677343,1.1095530234754,28581.0,296166.0,2829544.0,50659.0,95948.0
141,2021-04-02,1.03875049426651,1.06851551521156,28729.0,297734.0,2876221.0,46677.0,96280.0
142,2021-04-03,1.04250691973112,1.02686540721804,28886.0,299075.0,2890138.0,13917.0,96465.0
143,2021-04-04,1.05595096876236,0.989299531394233,29356.0,299624.0,2956932.0,66794.0,96650.0
144,2021-04-05,1.07413997627521,0.959805979609655,29907.0,300064.0,2967725.0,10793.0,96847.0
145,2021-04-06,1.11229735073151,0.941268899726098,30639.0,301299.0,2975770.0,8045.0,97273.0
146,2021-04-07,1.13266113088177,0.934539012884166,30904.0,303639.0,2988721.0,12951.0,97694.0
